Giornata;Squadra;Modulo;Giocatore;Titolare;PanchinaOrdine
1;ARCORE FC;3-4-3;Okoye;SI;0
1;ARCORE FC;3-4-3;Di Lorenzo;SI;0
1;ARCORE FC;3-4-3;Cuadrado;SI;0
1;ARCORE FC;3-4-3;De Winter;SI;0
1;ARCORE FC;3-4-3;Tramoni M.;SI;0
1;ARCORE FC;3-4-3;Orsolini;SI;0
1;ARCORE FC;3-4-3;Zaragoza;SI;0
1;ARCORE FC;3-4-3;Konè M.;SI;0
1;ARCORE FC;3-4-3;Bonny;SI;0
1;ARCORE FC;3-4-3;Sanabria;SI;0
1;ARCORE FC;3-4-3;Colombo;SI;0
1;ARCORE FC;3-4-3;Ostigard;NO;1
1;ARCORE FC;3-4-3;Cataldi;NO;2
1;ARCORE FC;3-4-3;Akanji;NO;3
1;ARCORE FC;3-4-3;Thuram;NO;4
1;ARCORE FC;3-4-3;Sucic P.;NO;5
1;ARCORE FC;3-4-3;Esposito Se.;NO;6
1;ARCORE FC;3-4-3;Cambiaso;NO;7
1;ARCORE FC;3-4-3;Thorsby;NO;8
1;ARCORE FC;3-4-3;N'Dicka;NO;9
1;ARCORE FC;3-4-3;Falcone;NO;10
1;ARCORE FC;3-4-3;Pedro;NO;11
1;ARCORE FC;3-4-3;Audero;NO;12
1;ARCORE FC;3-4-3;Bisseck;NO;13
1;ARCORE FC;3-4-3;McTominay;NO;14
1;FC San Marco Evangelista;3-4-3;Terracciano;SI;0
1;FC San Marco Evangelista;3-4-3;Palestra;SI;0
1;FC San Marco Evangelista;3-4-3;Circati;SI;0
1;FC San Marco Evangelista;3-4-3;Kalulu;SI;0
1;FC San Marco Evangelista;3-4-3;Barella;SI;0
1;FC San Marco Evangelista;3-4-3;Dele-Bashiru;SI;0
1;FC San Marco Evangelista;3-4-3;Odgaard;SI;0
1;FC San Marco Evangelista;3-4-3;Brescianini;SI;0
1;FC San Marco Evangelista;3-4-3;De Ketelaere;SI;0
1;FC San Marco Evangelista;3-4-3;Pellegrino M.;SI;0
1;FC San Marco Evangelista;3-4-3;Cancellieri;SI;0
1;FC San Marco Evangelista;3-4-3;Yildiz;NO;1
1;FC San Marco Evangelista;3-4-3;Saelemaekers;NO;2
1;FC San Marco Evangelista;3-4-3;Maignan;NO;3
1;FC San Marco Evangelista;3-4-3;Boga;NO;4
1;FC San Marco Evangelista;3-4-3;Gila;NO;5
1;FC San Marco Evangelista;3-4-3;Miretti;NO;6
1;FC San Marco Evangelista;3-4-3;Buongiorno;NO;7
1;FC San Marco Evangelista;3-4-3;Iling Junior;NO;8
1;FC San Marco Evangelista;3-4-3;Norton-Cuffy;NO;9
1;FC San Marco Evangelista;3-4-3;Paz N.;NO;10
1;FC San Marco Evangelista;3-4-3;Suzuki;NO;11
1;FC San Marco Evangelista;3-4-3;Delprato;NO;12
1;FC San Marco Evangelista;3-4-3;Ferguson E.;NO;13
1;FC San Marco Evangelista;3-4-3;Ranieri L.;NO;14
1;FC bianchi;3-4-3;Contini;SI;0
1;FC bianchi;3-4-3;Diego Carlos;SI;0
1;FC bianchi;3-4-3;Vasquez;SI;0
1;FC bianchi;3-4-3;Romagnoli;SI;0
1;FC bianchi;3-4-3;McKennie;SI;0
1;FC bianchi;3-4-3;Harroui;SI;0
1;FC bianchi;3-4-3;Thuram K.;SI;0
1;FC bianchi;3-4-3;Isaksen;SI;0
1;FC bianchi;3-4-3;Fullkrug;SI;0
1;FC bianchi;3-4-3;Leao;SI;0
1;FC bianchi;3-4-3;Vardy;SI;0
1;FC bianchi;3-4-3;Sottil;NO;1
1;FC bianchi;3-4-3;Mina;NO;2
1;FC bianchi;3-4-3;Dodò;NO;3
1;FC bianchi;3-4-3;Rovella;NO;4
1;FC bianchi;3-4-3;Davis K.;NO;5
1;FC bianchi;3-4-3;Mkhitaryan;NO;6
1;FC bianchi;3-4-3;Comuzzo;NO;7
1;FC bianchi;3-4-3;Raspadori;NO;8
1;FC bianchi;3-4-3;Baschirotto;NO;9
1;FC bianchi;3-4-3;Scalvini;NO;10
1;FC bianchi;3-4-3;Strefezza;NO;11
1;FC bianchi;3-4-3;Meret;NO;12
1;FC bianchi;3-4-3;Milinkovic-Savic V.;NO;13
1;FC bianchi;3-4-3;Zapata D.;NO;14
1;Sinuoso;3-4-3;Martinez Jo.;SI;0
1;Sinuoso;3-4-3;Holm;SI;0
1;Sinuoso;3-4-3;Bastoni;SI;0
1;Sinuoso;3-4-3;Caracciolo A.;SI;0
1;Sinuoso;3-4-3;Thorstvedt;SI;0
1;Sinuoso;3-4-3;Locatelli;SI;0
1;Sinuoso;3-4-3;Vergara;SI;0
1;Sinuoso;3-4-3;Calhanoglu;SI;0
1;Sinuoso;3-4-3;Esposito F.P.;SI;0
1;Sinuoso;3-4-3;Martinez L.;SI;0
1;Sinuoso;3-4-3;Nkunku;SI;0
1;Sinuoso;3-4-3;Di Gennaro;NO;1
1;Sinuoso;3-4-3;Laurientè;NO;2
1;Sinuoso;3-4-3;Conceicao;NO;3
1;Sinuoso;3-4-3;Sommer;NO;4
1;Sinuoso;3-4-3;Vlasic;NO;5
1;Sinuoso;3-4-3;Douvikas;NO;6
1;Sinuoso;3-4-3;Olivera;NO;7
1;Sinuoso;3-4-3;Darmian;NO;8
1;Sinuoso;3-4-3;Heggem;NO;9
1;Sinuoso;3-4-3;De Roon;NO;10
1;Sinuoso;3-4-3;Spinazzola;NO;11
1;Sinuoso;3-4-3;Mancini;NO;12
1;Sinuoso;3-4-3;Nzola;NO;13
1;Sinuoso;3-4-3;Ricci S.;NO;14
1;Makumba FC;3-4-3;Skorupski;SI;0
1;Makumba FC;3-4-3;Tomori;SI;0
1;Makumba FC;3-4-3;Estupinan;SI;0
1;Makumba FC;3-4-3;Dimarco;SI;0
1;Makumba FC;3-4-3;Fofana Y.;SI;0
1;Makumba FC;3-4-3;Pulisic;SI;0
1;Makumba FC;3-4-3;Mandragora;SI;0
