id,role,name,team,quotation
2764,A,Martinez L.,Inter,36
6875,C,Paz N.,Como,27
2423,C,Pulisic,Milan,30
6434,A,Yildiz,Juventus,29
4871,A,Thuram,Inter,30
254,D,Dimarco,Inter,33
2194,C,Calhanoglu,Inter,26
4777,C,McTominay,Napoli,25
5585,A,Malen,Roma,18
6052,A,Hojlund,Napoli,26
2167,C,Orsolini,Bologna,22
4510,A,Leao,Milan,28
2097,A,Kean,Fiorentina,19
5734,A,Soulè,Roma,24
2379,C,Rabiot,Milan,25
4973,C,McKennie,Juventus,19
5841,P,Svilar,Roma,18
2137,A,Scamacca,Atalanta,22
4312,P,Maignan,Milan,19
531,A,Berardi,Sassuolo,24
4892,C,Saelemaekers,Milan,18
2606,C,Modric,Milan,21
2766,C,Zaniolo,Udinese,20
6832,D,Palestra,Cagliari,16
4431,P,Carnesecchi,Atalanta,20
1933,C,Mandragora,Fiorentina,20
5687,C,Vlasic,Torino,17
5995,A,De Ketelaere,Atalanta,17
5637,A,Davis K.,Udinese,23
7023,A,Pellegrino M.,Parma,20
2788,D,Bremer,Juventus,19
7017,A,Douvikas,Como,24
5800,C,Gudmundsson A.,Fiorentina,17
2517,C,De Bruyne,Napoli,19
6966,P,Butez,Como,17
2814,P,Provedel,Lazio,16
6226,A,Castellanos,Lazio,18
4730,A,Lookman,Atalanta,14
4220,C,Zambo Anguissa,Napoli,17
2369,A,Thauvin,Udinese,16
6572,A,Castro S.,Bologna,23
2120,D,Bastoni,Inter,17
2428,P,Sommer,Inter,13
6908,C,Atta,Udinese,18
4976,D,Kalulu,Juventus,14
4371,A,Raspadori,Atalanta,16
5564,C,Ndoye,Bologna,19
5876,P,Di Gregorio,Juventus,14
6435,A,Krstovic,Atalanta,24
5544,A,David,Juventus,14
6956,D,Solet,Udinese,14
1870,C,Barella,Inter,15
4159,D,Akanji,Inter,13
309,A,Dybala,Roma,13
632,C,Zaccagni,Lazio,13
152,C,Zielinski,Inter,25
4427,C,Malinovskyi,Genoa,17
1852,D,Spinazzola,Napoli,20
4923,A,Colombo,Genoa,15
4463,A,Esposito Se.,Cagliari,16
2038,A,Pinamonti,Sassuolo,15
2061,A,Simeone,Torino,17
827,C,Locatelli,Juventus,15
7316,A,Durosinmi,Pisa,15
5562,C,Thuram K.,Juventus,13
5589,C,Konè M.,Roma,16
7181,D,Wesley,Roma,15
4728,A,Nkunku,Milan,19
2499,A,Vardy,Cremonese,18
2296,D,Mancini,Roma,11
7071,A,Esposito F.P.,Inter,21
7126,C,Baturina,Como,17
2841,A,Vlahovic,Juventus,13
2531,A,Lukaku,Napoli,15
6717,C,Konè I.,Sassuolo,16
6217,D,Bisseck,Inter,16
6398,C,Isaksen,Lazio,15
2134,P,Falcone,Lecce,16
6884,C,Conceicao,Juventus,14
5792,C,Ederson D.S.,Atalanta,12
6552,A,Orban G.,Verona,19
7314,C,Taylor K.,Lazio,14
6151,C,Perrone,Como,15
6666,C,Bernabè,Parma,17
6060,A,Laurientè,Sassuolo,19
6831,C,Neres,Napoli,15
2816,D,Di Lorenzo,Napoli,11
7199,A,Kilicsoy,Cagliari,16
4409,D,Rrahmani,Napoli,12
6646,A,Adams C.,Torino,16
5885,D,Dodò,Fiorentina,8
2678,A,Fullkrug,Milan,13
4465,C,Fagioli,Fiorentina,10
22,C,De Roon,Atalanta,9
5022,D,Pavlovic,Milan,15
4317,D,N'Dicka,Roma,7
6380,A,Solomon,Fiorentina,10
4486,C,Strefezza,Parma,10
4751,D,Tomori,Milan,8
441,A,Belotti,Cagliari,7
6164,A,Vitinha O.,Genoa,13
5422,C,Zalewski,Atalanta,16
779,C,Cristante,Roma,12
6496,D,Bartesaghi,Milan,13
554,D,Zappacosta,Atalanta,10
7223,C,Vergara,Napoli,8
530,C,Pellegrini Lo.,Roma,14
6869,D,Ramon,Como,12
2170,P,Milinkovic-Savic V.,Napoli,17
6684,C,Ekkelenkamp,Udinese,13
4947,C,Brescianini,Fiorentina,11
2077,C,Pasalic,Atalanta,12
4360,P,Caprile,Cagliari,11
6669,A,Bonny,Inter,16
5844,C,Thorstvedt,Sassuolo,11
5559,C,Da Cunha,Como,12
4479,C,Elmas,Napoli,7
4287,C,Lobotka,Napoli,10
4199,C,Loftus-Cheek,Milan,15
2765,C,Odgaard,Bologna,16
333,C,Cataldi,Lazio,15
5750,D,Ostigard,Genoa,14
5513,D,Dumfries,Inter,10
2489,A,Pedro,Lazio,11
7146,C,Tourè I.,Pisa,9
5888,C,Casadei,Torino,9
6989,D,Tiago Gabriel,Lecce,10
6766,D,Kelly L.,Juventus,11
5514,D,Vasquez,Genoa,10
7129,A,Rodriguez Je.,Como,12
6365,A,Ferguson E.,Roma,15
6844,C,Rowe,Bologna,9
5813,C,Miretti,Juventus,12
5791,C,Frendrup,Genoa,10
4686,C,Fofana Y.,Milan,10
7219,D,Bernasconi,Atalanta,10
505,A,Bonazzoli,Cremonese,19
5674,C,Basic,Lazio,12
5651,C,Harrison,Fiorentina,10
536,C,Politano,Napoli,9
4177,D,Pavard,Inter,8
4436,A,Cambiaghi,Bologna,15
5823,C,Baldanzi,Genoa,6
5504,C,Coulibaly L.,Lecce,14
2529,C,Mkhitaryan,Inter,10
5862,D,Valeri,Parma,10
4401,D,Gabbia,Milan,8
7313,A,Ratkov,Lazio,14
7120,A,Lang,Napoli,13
5500,A,Cancellieri,Lazio,13
5455,A,Moreo,Pisa,17
7351,C,Santos A.,Napoli,8
6015,C,Berisha M.,Lecce,11
5318,C,Tramoni M.,Pisa,8
5301,C,Luis Henrique,Inter,9
4896,C,Maldini,Lazio,4
4364,C,Gaetano,Cagliari,13
4186,C,Guendouzi,Lazio,13
6893,D,Kempf,Como,16
6664,D,Delprato,Parma,9
5833,D,Gila,Lazio,8
5520,D,Cambiaso,Juventus,9
2593,D,Martin,Genoa,12
460,D,Romagnoli,Lazio,8
572,P,Meret,Napoli,8
7220,D,Belghali,Verona,10
4665,D,Maripan,Torino,11
7318,C,Gandelman,Lecce,10
6680,C,Karlstrom,Udinese,10
184,C,Bernardeschi,Bologna,6
5835,D,Baschirotto,Cremonese,12
2160,D,Gosens,Fiorentina,9
7162,A,Giovane,Napoli,16
6314,A,Openda,Juventus,7
6001,A,Banda,Lecce,12
7070,C,Sucic P.,Inter,12
6575,C,Zaragoza,Roma,8
2528,C,Matic,Sassuolo,10
1976,C,Mazzitelli,Cagliari,14
6814,D,Norton-Cuffy,Genoa,8
6480,D,Tchatchoua,Verona,8
5526,D,Scalvini,Atalanta,15
787,D,Djimsiti,Atalanta,6
393,D,Luperto,Cremonese,10
2521,P,De Gea,Fiorentina,11
7331,C,Loyola,Pisa,8
7133,C,Vandeputte,Cremonese,12
6815,C,Fadera,Sassuolo,10
6190,C,Pisilli,Roma,7
5858,C,Ferguson,Bologna,6
5298,C,Pobega,Bologna,9
4349,C,Nicolussi Caviglia,Parma,5
2839,C,Sottil,Lecce,12
788,C,Freuler,Bologna,6
7212,D,Heggem,Bologna,7
7155,D,Muharemovic,Sassuolo,7
5877,D,Carlos Augusto,Inter,13
4887,D,Bellanova,Atalanta,6
4807,D,Hermoso,Roma,9
4137,D,Diego Carlos,Como,6
6981,A,Vaz,Roma,9
4359,A,Piccoli,Fiorentina,8
4179,A,Gonzalez N.,Juventus,11
2832,A,Boga,Juventus,7
785,A,Immobile,Bologna,4
608,A,Zapata D.,Torino,5
6898,C,Keita M.,Parma,9
5453,C,Ricci S.,Milan,14
5393,C,Man,Parma,11
4711,C,Kostic,Juventus,13
4404,C,Thorsby,Cremonese,16
6495,D,Comuzzo,Fiorentina,6
5701,D,Obert,Cagliari,7
5678,D,Holm,Juventus,11
5449,D,Parisi,Fiorentina,6
2640,D,Kolasinac,Atalanta,5
256,D,Juan Jesus,Napoli,3
6967,A,Diao,Como,3
2155,A,Cutrone,Parma,6
7198,C,Piotrowski,Udinese,7
7028,C,Bernede,Verona,8
6549,C,Pierotti,Lecce,6
6486,C,Suslov,Verona,1
6294,C,Ndour,Fiorentina,6
6252,C,Folorunsho,Cagliari,7
6020,C,Ellertsson,Genoa,11
5761,C,Zhegrova,Juventus,9
