Team Name;Player Name;Price
ARCORE FC;Audero;1
ARCORE FC;Falcone;1
ARCORE FC;Okoye;1
ARCORE FC;Cuadrado;2
ARCORE FC;Di Lorenzo;55
ARCORE FC;Akanji;7
ARCORE FC;N'Dicka;15
ARCORE FC;Cambiaso;71
ARCORE FC;De Winter;6
ARCORE FC;Ostigard;4
ARCORE FC;Bisseck;5
ARCORE FC;Cataldi;3
ARCORE FC;Orsolini;110
ARCORE FC;Thorsby;1
ARCORE FC;McTominay;115
ARCORE FC;Tramoni M.;9
ARCORE FC;Konè M.;45
ARCORE FC;Zaragoza;5
ARCORE FC;Sucic P.;1
ARCORE FC;Sanabria;1
ARCORE FC;Pedro;1
ARCORE FC;Esposito Se.;47
ARCORE FC;Thuram;322
ARCORE FC;Colombo;30
ARCORE FC;Bonny;46
FC San Marco Evangelista;Terracciano;1
FC San Marco Evangelista;Maignan;85
FC San Marco Evangelista;Suzuki;1
FC San Marco Evangelista;Buongiorno;45
FC San Marco Evangelista;Ranieri L.;9
FC San Marco Evangelista;Kalulu;27
FC San Marco Evangelista;Gila;20
FC San Marco Evangelista;Circati;1
FC San Marco Evangelista;Delprato;21
FC San Marco Evangelista;Norton-Cuffy;1
FC San Marco Evangelista;Palestra;1
FC San Marco Evangelista;Barella;64
FC San Marco Evangelista;Odgaard;50
FC San Marco Evangelista;Saelemaekers;1
FC San Marco Evangelista;Brescianini;3
FC San Marco Evangelista;Miretti;1
FC San Marco Evangelista;Iling Junior;1
FC San Marco Evangelista;Dele-Bashiru;8
FC San Marco Evangelista;Paz N.;100
FC San Marco Evangelista;Boga;1
FC San Marco Evangelista;Cancellieri;1
FC San Marco Evangelista;De Ketelaere;90
FC San Marco Evangelista;Ferguson E.;157
FC San Marco Evangelista;Yildiz;203
FC San Marco Evangelista;Pellegrino M.;16
FC bianchi;Meret;91
FC bianchi;Milinkovic-Savic V.;20
FC bianchi;Contini;1
FC bianchi;Romagnoli;5
FC bianchi;Diego Carlos;1
FC bianchi;Mina;11
FC bianchi;Vasquez;3
FC bianchi;Scalvini;3
FC bianchi;Baschirotto;3
FC bianchi;Dodò;35
FC bianchi;Comuzzo;7
FC bianchi;Mkhitaryan;17
FC bianchi;Sottil;7
FC bianchi;Rovella;1
FC bianchi;Strefezza;6
FC bianchi;McKennie;80
FC bianchi;Thuram K.;81
FC bianchi;Harroui;1
FC bianchi;Isaksen;39
FC bianchi;Zapata D.;31
FC bianchi;Vardy;1
FC bianchi;Fullkrug;80
FC bianchi;Raspadori;72
FC bianchi;Leao;247
FC bianchi;Davis K.;1
Fabio Volo;Di Gennaro;1
Fabio Volo;Sommer;75
Fabio Volo;Martinez Jo.;1
Fabio Volo;Spinazzola;1
Fabio Volo;Bastoni;56
Fabio Volo;Caracciolo A.;1
Fabio Volo;Mancini;26
Fabio Volo;Darmian;2
Fabio Volo;Holm;6
Fabio Volo;Olivera;10
Fabio Volo;Heggem;1
Fabio Volo;De Roon;3
Fabio Volo;Locatelli;1
Fabio Volo;Calhanoglu;83
Fabio Volo;Ricci S.;14
Fabio Volo;Vlasic;27
Fabio Volo;Thorstvedt;1
Fabio Volo;Conceicao;90
Fabio Volo;Vergara;73
Fabio Volo;Martinez L.;367
Fabio Volo;Nkunku;34
Fabio Volo;Nzola;1
Fabio Volo;Laurientè;50
Fabio Volo;Douvikas;3
Fabio Volo;Esposito F.P.;1
Makumba FC;Skorupski;1
Makumba FC;Perin;1
Makumba FC;Di Gregorio;91
Makumba FC;Dimarco;87
Makumba FC;Zappacosta;1
Makumba FC;Gabbia;1
Makumba FC;Tomori;1
Makumba FC;Bellanova;53
Makumba FC;Pavlovic;6
Makumba FC;Estupinan;1
Makumba FC;Bartesaghi;1
Makumba FC;Zielinski;1
Makumba FC;Politano;29
Makumba FC;Mandragora;1
Makumba FC;Pulisic;125
Makumba FC;Loftus-Cheek;6
Makumba FC;Fofana Y.;1
Makumba FC;Rowe;3
Makumba FC;Taylor K.;52
Makumba FC;Pinamonti;30
Makumba FC;Kean;350
Makumba FC;Piccoli;1
Makumba FC;Orban G.;13
Makumba FC;Adams C.;1
Makumba FC;Rodriguez Je.;5
Nhamass dstrunz;Sportiello;1
Nhamass dstrunz;Carnesecchi;50
Nhamass dstrunz;Bijlow;1
Nhamass dstrunz;Rrahmani;30
Nhamass dstrunz;Celik;1
Nhamass dstrunz;Kossounou;9
Nhamass dstrunz;Tavares N.;61
Nhamass dstrunz;Kelly L.;1
Nhamass dstrunz;Valle;1
Nhamass dstrunz;Ramon;3
Nhamass dstrunz;Kempf;6
Nhamass dstrunz;Zaccagni;150
Nhamass dstrunz;Pasalic;1
Nhamass dstrunz;Malinovskyi;22
Nhamass dstrunz;Da Cunha;1
Nhamass dstrunz;Perrone;31
Nhamass dstrunz;Ekkelenkamp;10
Nhamass dstrunz;Konè I.;1
Nhamass dstrunz;Tourè I.;1
Nhamass dstrunz;Dybala;37
Nhamass dstrunz;Berardi;109
Nhamass dstrunz;Scamacca;95
Nhamass dstrunz;Soulè;79
Nhamass dstrunz;Krstovic;100
Nhamass dstrunz;Kilicsoy;1
Reazione di Mallard;Provedel;3
Reazione di Mallard;Caprile;49
