Voti Fantacalcio 23ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;8.5;0;0;1;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;6.5;0;0;0;0;0;0;0;0;0
4887;D;Bellanova;6;0;0;0;0;0;0;1;0;0
5526;D;Scalvini;6;0;0;0;0;0;0;0;0;0
5578;D;Kossounou;6*;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;4;0;0;0;0;0;0;0;1;0
7219;D;Bernasconi;6;0;0;0;0;0;0;0;0;0
22;C;De Roon;6;0;0;0;0;0;0;1;0;0
5422;C;Zalewski;5.5;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;7;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;6*;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;6;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;6;0;0;0;0;0;0;1;0;0
1909;ALL;Palladino;6.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2722;P;Ravaglia F.;6;0;3;0;0;0;0;1;0;0
2653;D;Lykogiannis;6*;0;0;0;0;0;0;0;0;0
4433;D;Zortea;5.5;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;4;0;0;0;0;0;0;0;0;0
5498;D;Casale;5;0;0;0;0;0;0;0;0;0
7212;D;Heggem;4.5;0;0;0;0;0;0;0;0;0
184;C;Bernardeschi;5.5;0;0;0;0;0;0;0;0;0
788;C;Freuler;5.5;0;0;0;0;0;0;1;0;0
2167;C;Orsolini;5.5;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;5;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;5.5;0;0;0;0;0;0;1;0;0
6054;C;Moro N.;5.5;0;0;0;0;0;0;0;0;0
6844;C;Rowe;5.5;0;0;0;0;0;0;0;0;0
4436;A;Cambiaghi;6*;0;0;0;0;0;0;0;0;0
6572;A;Castro S.;5.5;0;0;0;0;0;0;0;0;0
6643;A;Dallinga;5.5;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;6;0;0;0;0;0;0;0;0;0
393;D;Luperto;6.5;0;0;0;0;0;0;0;0;0
4210;D;Mina;6.5;0;0;0;0;0;0;0;0;0
4461;D;Zappa;6.5;0;0;0;0;0;0;0;0;1
5701;D;Obert;6.5;0;0;0;0;0;0;0;0;1
6832;D;Palestra;7;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;6.5;1;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;6.5;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;7;1;0;0;0;0;0;0;0;0
4364;C;Gaetano;6.5;0;0;0;0;0;0;0;0;0
4870;C;Adopo;6.5;0;0;0;0;0;0;0;0;0
6024;C;Sulemana I.;6.5;1;0;0;0;0;0;0;0;0
247;A;Pavoletti;6*;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;7;0;0;0;0;0;0;0;0;1
6243;A;Borrelli;6.5;0;0;0;0;0;0;0;0;0
7199;A;Kilicsoy;7.5;1;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;7;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6;0;0;0;0;0;0;1;0;0
4994;D;Vojvoda;6;0;0;0;0;0;0;0;0;0
6867;D;Valle;6.5;0;0;0;0;0;0;0;0;0
6869;D;Ramon;6.5;0;0;0;0;0;0;0;0;0
6893;D;Kempf;6;0;0;0;0;0;0;0;0;0
7014;D;Smolcic I.;6;0;0;0;0;0;0;0;0;0
4284;C;Sergi Roberto;6*;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;6.5;0;0;0;0;0;0;1;0;0
6151;C;Perrone;6;0;0;0;0;0;0;1;0;0
6875;C;Paz N.;4.5;0;0;0;1;0;0;0;0;0
7126;C;Baturina;6;0;0;0;0;0;0;0;0;0
313;A;Morata;5.5;0;0;0;0;0;0;0;0;0
7017;A;Douvikas;5.5;0;0;0;0;0;0;0;0;0
7127;A;Addai;5.5;0;0;0;0;0;0;1;0;0
7128;A;Kuhn;6*;0;0;0;0;0;0;0;0;0
7129;A;Rodriguez Je.;5.5;0;0;0;0;0;0;0;0;0
2485;ALL;Fabregas;5.5;0;0;0;0;0;0;0;0;0
Cremonese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
761;P;Audero;5;0;2;0;0;0;0;0;0;0
770;D;Pezzella Giu.;5.5;0;0;0;0;0;0;0;0;0
1891;D;Ceccherini;5.5;0;0;0;0;0;0;1;0;0
5812;D;Terracciano F.;6;0;0;0;0;0;0;0;0;0
5835;D;Baschirotto;5.5;0;0;0;0;0;0;1;0;0
6870;D;Faye;6;0;0;0;0;0;0;0;0;0
7130;D;Folino;6;0;0;0;0;0;0;0;0;0
