id,role,name,team,quotation
5585,A,Malen,Roma,15
2369,A,Thauvin,Udinese,16
5564,C,Ndoye,Bologna,19
4371,A,Raspadori,Atalanta,15
7313,A,Ratkov,Lazio,14
2841,A,Vlahovic,Juventus,15
7316,A,Durosinmi,Pisa,16
4923,A,Colombo,Genoa,14
6151,C,Perrone,Como,16
4427,C,Malinovskyi,Genoa,12
7314,C,Taylor K.,Lazio,13
2593,D,Martin,Genoa,14
4973,C,McKennie,Juventus,14
4436,A,Cambiaghi,Bologna,17
2678,A,Fullkrug,Milan,14
441,A,Belotti,Cagliari,8
5813,C,Miretti,Juventus,9
4465,C,Fagioli,Fiorentina,8
5750,D,Ostigard,Genoa,15
6164,A,Vitinha O.,Genoa,11
6015,C,Berisha M.,Lecce,13
5674,C,Basic,Lazio,14
333,C,Cataldi,Lazio,12
6981,A,Vaz,Roma,10
5651,C,Harrison,Fiorentina,10
7220,D,Belghali,Verona,11
7252,A,Stulic,Lecce,8
4486,C,Strefezza,Como,14
4479,C,Elmas,Napoli,6
4177,D,Pavard,Inter,8
4137,D,Diego Carlos,Como,8
256,D,Juan Jesus,Napoli,4
5504,C,Coulibaly L.,Lecce,13
4947,C,Brescianini,Fiorentina,7
5791,C,Frendrup,Genoa,9
4186,C,Guendouzi,Lazio,13
7219,D,Bernasconi,Atalanta,7
7212,D,Heggem,Bologna,9
5527,D,Zanoli,Udinese,9
6684,C,Ekkelenkamp,Udinese,12
4364,C,Gaetano,Cagliari,14
7155,D,Muharemovic,Sassuolo,7
7331,C,Loyola,Pisa,7
6984,C,Ondrejka,Parma,5
6680,C,Karlstrom,Udinese,10
2528,C,Matic,Sassuolo,10
6989,D,Tiago Gabriel,Lecce,9
2640,D,Kolasinac,Atalanta,5
1976,C,Mazzitelli,Cagliari,10
7018,D,Nelsson,Verona,4
6814,D,Norton-Cuffy,Genoa,7
6663,D,Circati,Parma,10
6480,D,Tchatchoua,Verona,8
7127,A,Addai,Como,12
2489,A,Pedro,Lazio,7
785,A,Immobile,Bologna,5
6458,C,Serdar,Verona,12
6206,C,Fabbian,Bologna,8
6190,C,Pisilli,Roma,6
5992,C,Bondo,Cremonese,7
5858,C,Ferguson,Bologna,5
5735,C,Volpato,Sassuolo,13
788,C,Freuler,Bologna,5
5812,D,Terracciano F.,Cremonese,11
4807,D,Hermoso,Roma,10
6380,A,Solomon,Fiorentina,7
4179,A,Gonzalez N.,Juventus,11
7028,C,Bernede,Verona,9
5761,C,Zhegrova,Juventus,9
5393,C,Man,Parma,11
5301,C,Luis Henrique,Inter,6
5298,C,Pobega,Bologna,11
4711,C,Kostic,Juventus,11
184,C,Bernardeschi,Bologna,5
7329,D,Obrador,Torino,6
7253,D,Bella-Kotchap,Verona,5
6639,D,Frese,Verona,6
6632,D,Gaspar K.,Lecce,4
5555,D,Kamara H.,Udinese,6
2188,D,Marusic,Lazio,7
787,D,Djimsiti,Atalanta,5
6662,P,Corvi,Parma,12
761,P,Audero,Cremonese,15
6836,A,Meister,Pisa,8
6243,A,Borrelli,Cagliari,13
5455,A,Moreo,Pisa,15
2155,A,Cutrone,Parma,6
7198,C,Piotrowski,Udinese,8
6898,C,Keita M.,Parma,8
6815,C,Fadera,Sassuolo,10
6549,C,Pierotti,Lecce,6
6486,C,Suslov,Verona,1
6294,C,Ndour,Fiorentina,6
5719,C,Asllani,Torino,3
4870,C,Adopo,Cagliari,6
1871,C,Deiola,Cagliari,6
6202,D,Beukema,Napoli,7
5307,D,Valenti,Parma,7
6556,A,Noslin,Lazio,11
7318,C,Gandelman,Lecce,6
7254,C,Lorran,Pisa,6
7132,C,Collocolo,Cremonese,2
6394,C,Ramadani,Lecce,5
6271,C,El Aynaoui,Roma,5
5561,C,Stengs,Pisa,1
5036,C,Caqueret,Como,10
4404,C,Thorsby,Genoa,15
181,C,Vecino,Lazio,6
7143,D,Angori,Pisa,9
6990,D,Veiga D.,Lecce,5
6887,D,Leoni,Parma,7
4502,D,Gallo,Lecce,8
4374,D,Walukiewicz,Sassuolo,6
4263,D,Kabasele,Udinese,12
2722,P,Ravaglia F.,Bologna,12
7249,A,Buksa,Udinese,9
6895,A,Dominguez B.,Bologna,4
6653,A,Bravo,Udinese,4
6001,A,Banda,Lecce,11
5672,A,Dia,Lazio,5
313,A,Morata,Como,4
7203,C,Jashari,Milan,4
7145,C,Piccinini G.,Pisa,5
6634,C,Tete Morente,Lecce,3
6593,C,Akinsanmiro,Pisa,7
6410,C,Kaba,Lecce,3
6106,C,Carboni V.,Genoa,4
6020,C,Ellertsson,Genoa,11
5784,C,Aebischer,Pisa,5
795,C,El Shaarawy,Roma,8
7268,D,Rodriguez Ju.,Cagliari,3
7260,D,Ziolkowski,Roma,4
7255,D,Britschgi,Parma,7
7139,D,Canestrelli,Pisa,5
7014,D,Smolcic I.,Como,3
6672,D,Idzes,Sassuolo,8
5820,D,Bertola,Udinese,6
5603,D,Pongracic,Fiorentina,5
4461,D,Zappa,Cagliari,7
4385,D,Lazaro,Torino,7
612,D,Bianchetti,Cremonese,6
513,D,Acerbi,Inter,6
393,D,Luperto,Cagliari,9
7128,A,Kuhn,Como,4
6822,A,Ekhator,Genoa,10
6145,A,Ngonge,Torino,9
5918,A,Sulemana K.,Atalanta,11
5506,A,Ekuban,Genoa,9
7209,C,Sorensen O.,Parma,7
7149,C,Marin M.,Pisa,5
6424,C,Prati,Cagliari,6
6170,C,Gineitis,Torino,4
6054,C,Moro N.,Bologna,8
5823,C,Baldanzi,Roma,6
5295,C,Musah,Atalanta,5
