id,role,name,team,quotation
7183,A,Aboukhlal,Torino,3
7127,A,Addai,Como,11
6207,A,Almqvist,Parma,3
5845,A,Alvarez A.,Sassuolo,2
7264,A,Ambrosino,Napoli,2
7277,A,Arena A.,Roma,1
7027,A,Azon,Como,1
7262,A,Balentien,Milan,1
6001,A,Banda,Lecce,11
7161,A,Bayo V.,Udinese,3
441,A,Belotti,Cagliari,8
6409,A,Beltran L.,Fiorentina,6
6667,A,Benedyczak,Parma,8
7152,A,Bonfanti N.,Pisa,1
6243,A,Borrelli,Cagliari,13
6653,A,Bravo,Udinese,4
6213,A,Brenner,Udinese,3
7171,A,Buffon L.,Pisa,1
7249,A,Buksa,Udinese,8
4436,A,Cambiaghi,Bologna,17
6439,A,Cheddira,Lecce,7
4923,A,Colombo,Genoa,14
2155,A,Cutrone,Parma,6
5512,A,De Luca,Cremonese,3
5672,A,Dia,Lazio,5
5471,A,Djuric,Parma,2
6895,A,Dominguez B.,Bologna,5
7316,A,Durosinmi,Pisa,15
647,A,Dzeko,Fiorentina,3
6822,A,Ekhator,Genoa,10
5506,A,Ekuban,Genoa,11
7213,A,Frigan,Parma,1
2678,A,Fullkrug,Milan,14
6657,A,Gabrielloni,Como,1
4179,A,Gonzalez N.,Juventus,11
7272,A,Gueye,Udinese,2
785,A,Immobile,Bologna,4
7309,A,Isaac,Verona,2
5496,A,Johnsen,Cremonese,7
6459,A,Karlsson,Bologna,3
2762,A,Kouamè,Fiorentina,1
7128,A,Kuhn,Como,6
7153,A,Lind,Pisa,4
5297,A,Luvumbo,Cagliari,3
5585,A,Malen,Roma,15
6836,A,Meister,Pisa,8
2012,A,Milik,Juventus,1
313,A,Morata,Como,3
5455,A,Moreo,Pisa,18
7158,A,Moro L.,Sassuolo,2
6630,A,Mosquera,Verona,7
6555,A,Moumbagna,Cremonese,2
6205,A,Mulattieri,Sassuolo,5
7001,A,N'Dri,Lecce,10
7134,A,Nasti,Cremonese,1
6145,A,Ngonge,Torino,9
6827,A,Njie,Torino,6
6556,A,Noslin,Lazio,11
6227,A,Okafor,Milan,4
5515,A,Okereke,Cremonese,1
247,A,Pavoletti,Cagliari,1
2489,A,Pedro,Lazio,7
1842,A,Pierini,Sassuolo,2
6635,A,Pizarro,Udinese,1
4371,A,Raspadori,Atalanta,16
7313,A,Ratkov,Lazio,14
6644,A,Rocha Livramento,Verona,3
2475,A,Sanchez,Udinese,6
6159,A,Sarr A.,Verona,6
7159,A,Skjellerup,Sassuolo,1
6380,A,Solomon,Fiorentina,7
7252,A,Stulic,Lecce,7
5918,A,Sulemana K.,Atalanta,11
6628,A,Taremi,Inter,4
2369,A,Thauvin,Udinese,16
6229,A,Tourè E.,Atalanta,7
7317,A,Trepy,Cagliari,1
6981,A,Vaz,Roma,10
6164,A,Vitinha O.,Genoa,12
2841,A,Vlahovic,Juventus,14
4870,C,Adopo,Cagliari,7
6677,C,Adzic,Juventus,3
5784,C,Aebischer,Pisa,5
6593,C,Akinsanmiro,Pisa,6
5286,C,Akpa Akpro,Verona,2
7010,C,Al-Musrati,Verona,3
2553,C,Alli,Como,1
6889,C,Anjorin,Torino,2
7151,C,Arena,Pisa,1
5719,C,Asllani,Torino,2
2670,C,Bailey,Roma,8
5823,C,Baldanzi,Genoa,6
5674,C,Basic,Lazio,13
6191,C,Belahyane,Lazio,3
6015,C,Berisha M.,Lecce,12
184,C,Bernardeschi,Bologna,5
7028,C,Bernede,Verona,9
5516,C,Bianco,Fiorentina,1
6219,C,Boloca,Sassuolo,2
5992,C,Bondo,Cremonese,7
6656,C,Braunoder,Como,1
4947,C,Brescianini,Fiorentina,10
5036,C,Caqueret,Como,13
6106,C,Carboni V.,Genoa,4
5863,C,Castagnetti,Cremonese,3
333,C,Cataldi,Lazio,12
4856,C,Chukwueze,Milan,4
6618,C,Cissè A.,Verona,1
7132,C,Collocolo,Cremonese,2
4677,C,Cornet,Genoa,2
5504,C,Coulibaly L.,Lecce,13
7276,C,Cremaschi,Parma,1
1871,C,Deiola,Cagliari,6
6274,C,Diouf,Inter,2
4911,C,Douglas Luiz,Juventus,3
6684,C,Ekkelenkamp,Udinese,12
6271,C,El Aynaoui,Roma,4
6225,C,El Azzouzi,Bologna,3
795,C,El Shaarawy,Roma,7
6020,C,Ellertsson,Genoa,11
4479,C,Elmas,Napoli,5
6676,C,Engelhardt,Como,2
5290,C,Estevez,Parma,5
6206,C,Fabbian,Fiorentina,8
6815,C,Fadera,Sassuolo,11
4465,C,Fagioli,Fiorentina,8
6010,C,Fazzini,Fiorentina,2
6640,C,Felici,Cagliari,12
5858,C,Ferguson,Bologna,6
6506,C,Fini,Genoa,2
7319,C,Fofana Sa.,Lecce,1
2848,C,Frattesi,Inter,3
5791,C,Frendrup,Genoa,9
788,C,Freuler,Bologna,5
4364,C,Gaetano,Cagliari,14
801,C,Gagliardini,Verona,8
7318,C,Gandelman,Lecce,7
4930,C,Ghion,Sassuolo,4
6170,C,Gineitis,Torino,4
7248,C,Gorter,Lecce,2
27,C,Grassi,Cremonese,5
6722,C,Gronbaek,Genoa,2
4186,C,Guendouzi,Lazio,13
5651,C,Harrison,Fiorentina,10
5872,C,Helgason,Lecce,2
7147,C,Hojholt,Pisa,1
7157,C,Iannoni,Sassuolo,5
5007,C,Ilic,Torino,3
6005,C,Ilkhan,Torino,2
7203,C,Jashari,Milan,3
6410,C,Kaba,Lecce,3
6680,C,Karlstrom,Udinese,10
2117,C,Kastanos,Verona,1
6898,C,Keita M.,Parma,8
4711,C,Kostic,Juventus,13
2334,C,Leris,Pisa,11
