Solo su www.fantacalcio.it i voti ufficiali per la tua lega;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;7;0;1;0;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;6;0;0;0;0;0;0;1;0;0
6046;D;Hien;6;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;5.5;0;0;0;0;0;0;0;0;0
7219;D;Bernasconi;5.5;0;0;0;0;0;0;0;0;0
22;C;De Roon;5.5;0;0;0;0;0;0;0;0;0
2077;C;Pasalic;5.5;0;0;0;0;0;0;1;0;0
5295;C;Musah;5.5;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;6.5;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;5;0;0;0;0;0;0;0;0;0
4371;A;Raspadori;5.5;0;0;0;0;0;0;0;0;0
5918;A;Sulemana K.;6;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;5.5;0;0;0;0;0;0;0;0;0
6435;A;Krstovic;7;1;0;0;0;0;0;0;0;0
1909;ALL;Palladino;5.5;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2722;P;Ravaglia F.;6;0;2;0;0;0;0;0;0;0
4433;D;Zortea;6;0;0;0;0;0;0;0;0;0
4734;D;Miranda J.;5.5;0;0;0;0;0;0;1;0;0
5498;D;Casale;5.5;0;0;0;0;0;0;0;0;0
5678;D;Holm;5.5;0;0;0;0;0;0;1;0;0
7212;D;Heggem;5;0;0;0;0;0;0;0;0;0
788;C;Freuler;5.5;0;0;0;0;0;0;0;0;0
2167;C;Orsolini;5.5;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;5;0;0;0;0;0;0;0;0;0
5298;C;Pobega;5.5;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;6;0;0;0;0;0;0;1;0;0
6054;C;Moro N.;5.5;0;0;0;0;0;0;0;0;0
6206;C;Fabbian;6.5;1;0;0;0;0;0;0;0;0
6844;C;Rowe;7;0;0;0;0;0;0;0;0;1
4436;A;Cambiaghi;5.5;0;0;0;0;0;0;0;0;0
6572;A;Castro S.;5.5;0;0;0;0;0;0;0;0;0
4993;ALL;Italiano;5.5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;7;0;0;0;0;0;0;0;0;0
393;D;Luperto;6.5;0;0;0;0;0;0;0;0;0
4210;D;Mina;7;0;0;0;0;0;0;0;0;0
5701;D;Obert;6;0;0;0;0;0;0;0;0;0
6832;D;Palestra;6.5;0;0;0;0;0;0;0;0;0
7125;D;Idrissi R.;6;0;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;6.5;0;0;0;0;0;0;0;0;0
1976;C;Mazzitelli;7.5;1;0;0;0;0;0;0;0;0
4364;C;Gaetano;6.5;0;0;0;0;0;0;0;0;1
4870;C;Adopo;6;0;0;0;0;0;0;0;0;0
4463;A;Esposito Se.;5.5;0;0;0;0;0;0;0;0;0
6243;A;Borrelli;6;0;0;0;0;0;0;0;0;0
7199;A;Kilicsoy;6;0;0;0;0;0;0;0;0;0
1869;ALL;Pisacane;7;0;0;0;0;0;0;0;0;0
Como;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6966;P;Butez;6.5;0;0;0;0;0;0;0;0;0
4137;D;Diego Carlos;6.5;0;0;0;0;0;0;0;0;0
4994;D;Vojvoda;6;0;0;0;0;0;0;0;0;0
6066;D;Posch;6;0;0;0;0;0;0;1;0;0
6867;D;Valle;7;0;0;0;0;0;0;1;0;1
6869;D;Ramon;7;0;0;0;0;0;0;0;0;0
7014;D;Smolcic I.;6;0;0;0;0;0;0;1;0;0
4284;C;Sergi Roberto;6;0;0;0;0;0;0;0;0;0
5036;C;Caqueret;6.5;0;0;0;0;0;0;0;0;0
5559;C;Da Cunha;6.5;0;0;0;0;0;0;0;0;0
6151;C;Perrone;6.5;0;0;0;0;0;0;0;0;0
6875;C;Paz N.;7.5;2;0;0;1;0;0;0;0;0
7126;C;Baturina;8;1;0;0;0;0;0;0;0;1
7017;A;Douvikas;6*;0;0;0;0;0;0;0;0;0
7128;A;Kuhn;6*;0;0;0;0;0;0;0;0;0
7129;A;Rodriguez Je.;6;0;0;0;0;0;0;0;0;0
2485;ALL;Fabregas;8;0;0;0;0;0;0;0;0;0
Cremonese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
761;P;Audero;6.5;0;0;0;0;0;0;0;0;0
612;D;Bianchetti;6;0;0;0;0;0;0;0;0;0
1891;D;Ceccherini;6;0;0;0;0;0;0;0;0;0
5812;D;Terracciano F.;6;0;0;0;0;0;0;0;0;0
5835;D;Baschirotto;6.5;0;0;0;0;0;0;0;0;0
6013;D;Barbieri;6.5;0;0;0;0;0;0;0;0;0
7130;D;Folino;6;0;0;0;0;0;0;0;0;0
7131;D;Floriani Mussolini;6*;0;0;0;0;0;0;0;0;0
27;C;Grassi;6;0;0;0;0;0;0;0;0;0
5992;C;Bondo;6.5;0;0;0;0;0;0;0;0;0
5998;C;Zerbin;6*;0;0;0;0;0;0;0;0;0
7132;C;Collocolo;6*;0;0;0;0;0;0;0;0;0
7133;C;Vandeputte;6;0;0;0;0;0;0;1;0;0
505;A;Bonazzoli;5;0;0;0;0;0;0;1;0;0
2499;A;Vardy;5.5;0;0;0;0;0;0;1;0;0
6555;A;Moumbagna;5.5;0;0;0;0;0;0;0;0;0
1911;ALL;Nicola;6;0;0;0;0;0;0;0;0;0
Fiorentina;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2521;P;De Gea;6;0;1;0;0;0;0;0;0;0
2160;D;Gosens;6;0;0;0;0;0;0;0;0;0
4378;D;Ranieri L.;6*;0;0;0;0;0;0;0;0;0
5449;D;Parisi;6.5;0;0;0;0;0;0;0;0;0
5603;D;Pongracic;6.5;0;0;0;0;0;0;0;0;0
5885;D;Dodò;7;0;0;0;0;0;0;0;0;0
6495;D;Comuzzo;6;0;0;0;0;0;0;0;0;0
7069;D;Fortini;6.5;0;0;0;0;0;0;0;0;0
1933;C;Mandragora;7;1;0;0;0;0;0;0;0;0
4465;C;Fagioli;6.5;0;0;0;0;0;0;0;0;0
4947;C;Brescianini;5.5;0;0;0;0;0;0;0;0;0
5319;C;Sohm;6;0;0;0;0;0;0;0;0;0
5800;C;Gudmundsson A.;6.5;0;0;0;0;0;0;0;0;1
6294;C;Ndour;6;0;0;0;0;0;0;0;0;0
4359;A;Piccoli;7;1;0;0;0;0;0;0;0;0
6380;A;Solomon;5.5;0;0;0;0;0;0;0;0;0
6619;ALL;Vanoli;6.5;0;0;0;0;0;0;0;0;0
Genoa;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
188;P;Leali;6;0;0;0;0;0;0;0;0;0
791;D;Sabelli;6;0;0;0;0;0;0;0;0;0
2593;D;Martin;6;0;0;0;0;0;0;0;0;0
5514;D;Vasquez;6.5;0;0;0;0;0;0;0;0;0
5750;D;Ostigard;6.5;0;0;0;0;0;0;1;0;0
6660;D;Marcandalli;6.5;0;0;0;0;0;0;0;0;0
4427;C;Malinovskyi;5.5;0;0;0;0;0;0;0;0;0
4970;C;Messias;5.5;0;0;0;0;0;0;0;0;0
5791;C;Frendrup;6.5;0;0;0;0;0;0;0;0;0
6020;C;Ellertsson;6;0;0;0;0;0;0;0;0;0
6917;C;Masini;6*;0;0;0;0;0;0;0;0;0
4923;A;Colombo;6;0;0;0;0;0;0;0;0;0
6164;A;Vitinha O.;5.5;0;0;0;0;0;0;1;0;0
6822;A;Ekhator;6;0;0;0;0;0;0;0;0;0
7328;A;Nuredini;6*;0;0;0;0;0;0;0;0;0
463;ALL;De Rossi;6;0;0;0;0;0;0;0;0;0
Inter;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2428;P;Sommer;6;0;0;0;0;0;0;0;0;0
254;D;Dimarco;6.5;0;0;0;0;0;0;0;0;0
322;D;De Vrij;6*;0;0;0;0;0;0;0;0;0
513;D;Acerbi;6*;0;0;0;0;0;0;0;0;0
4159;D;Akanji;6.5;0;0;0;0;0;0;0;0;0
5877;D;Carlos Augusto;6;0;0;0;0;0;0;1;0;0
6217;D;Bisseck;6;0;0;0;0;0;0;0;0;0
152;C;Zielinski;6.5;0;0;0;0;0;0;0;0;0
1870;C;Barella;5.5;0;0;0;0;0;0;0;0;0
2529;C;Mkhitaryan;6;0;0;0;0;0;0;0;0;0
2848;C;Frattesi;6*;0;0;0;0;0;0;0;0;0
5301;C;Luis Henrique;6;0;0;0;0;0;0;0;0;0
7070;C;Sucic P.;6*;0;0;0;0;0;0;0;0;0
2764;A;Martinez L.;7;1;0;0;0;0;0;0;0;0
6669;A;Bonny;6;0;0;0;0;0;0;0;0;0
7071;A;Esposito F.P.;6.5;0;0;0;0;0;0;0;0;1
7043;ALL;Chivu;7;0;0;0;0;0;0;0;0;0
Juventus;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
218;P;Perin;6;0;1;0;0;0;0;0;0;0
2788;D;Bremer;6;0;0;0;0;0;0;0;0;0
4976;D;Kalulu;5.5;0;0;0;0;0;0;0;0;0
