Voti Fantacalcio 22ª giornata di campionato;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4431;P;Carnesecchi;7;0;0;0;0;0;0;0;0;0
554;D;Zappacosta;6;0;0;0;0;0;0;0;0;0
787;D;Djimsiti;6;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;6.5;0;0;0;0;0;0;0;0;0
6046;D;Hien;6;0;0;0;0;0;0;0;0;0
6916;D;Ahanor;6.5;0;0;0;0;0;0;0;0;0
7219;D;Bernasconi;6.5;0;0;0;0;0;0;0;0;0
22;C;De Roon;7;1;0;0;0;0;0;0;0;0
2077;C;Pasalic;6;0;0;0;0;0;0;0;0;0
5422;C;Zalewski;6.5;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;6;0;0;0;0;0;0;0;0;0
2137;A;Scamacca;7;0;0;0;0;1;0;1;0;0
4371;A;Raspadori;7;1;0;0;0;0;0;0;0;0
4730;A;Lookman;6*;0;0;0;0;0;0;0;0;0
5995;A;De Ketelaere;7.5;0;0;0;0;0;0;0;0;1
6435;A;Krstovic;7.5;1;0;0;0;0;0;0;0;1
1909;ALL;Palladino;7;0;0;0;0;0;0;0;0;0
Bologna;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
133;P;Skorupski;5;0;0;0;0;0;0;0;1;0
2722;P;Ravaglia F.;5.5;0;3;0;0;0;0;1;0;0
2653;D;Lykogiannis;5.5;0;0;0;0;0;0;0;0;0
4433;D;Zortea;6;0;0;0;0;0;0;0;0;0
5498;D;Casale;5.5;0;0;0;0;0;0;0;0;0
7068;D;Vitik;5.5;0;0;0;0;0;0;0;0;0
7212;D;Heggem;5;0;0;0;0;0;0;0;0;0
788;C;Freuler;6;0;0;0;0;0;0;0;0;0
2765;C;Odgaard;6;0;0;0;0;0;0;0;0;0
5319;C;Sohm;6;0;0;0;0;0;0;0;0;0
5858;C;Ferguson;7;1;0;0;0;0;0;0;0;0
6844;C;Rowe;6.5;0;0;0;0;0;0;0;0;0
785;A;Immobile;5.5;0;0;0;0;0;0;1;0;0
6643;A;Dallinga;5.5;0;0;0;0;0;0;0;0;0
6895;A;Dominguez B.;6.5;0;0;0;0;0;0;0;0;1
4993;ALL;Italiano;4.5;0;0;0;0;0;0;0;0;0
Cagliari;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4360;P;Caprile;7;0;1;0;0;0;0;1;0;0
393;D;Luperto;6.5;0;0;0;0;0;0;0;0;0
4210;D;Mina;7;0;0;0;0;0;0;1;0;0
4461;D;Zappa;6*;0;0;0;0;0;0;0;0;0
5701;D;Obert;6.5;0;0;0;0;0;0;0;0;0
6832;D;Palestra;7.5;1;0;0;0;0;0;0;0;1
7125;D;Idrissi R.;6*;0;0;0;0;0;0;0;0;0
7274;D;Zè Pedro;6;0;0;0;0;0;0;1;0;0
